Model,Title,Author,Date,Publisher,Repository,Model weights,PDF
RefineNovo,Curriculum Learning for Biological Sequence Prediction: The Case of De Novo Peptide Sequencing,"Xiang Zhang, Jiaqi Wei, Zijie Qiu, Sheng Xu, Nanqing Dong, Zhiqiang Gao, Siqi Sun","June 16, 2025",arXiv,https://github.com/BEAM-Labs/denovo/tree/main/RefineNovo,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/2506.13485v1.pdf
LIPNovo,Latent Imputation before Prediction: A New Computational Paradigm for De Novo Peptide Sequencing,"Ye Du, Chen Yang, Nanxi Yu, Wanyu Lin, Qian Zhao, Shujun Wang","May 23, 2025",arXiv,https://github.com/usr922/LIPNovo,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/2505.17524v1.pdf
InstaNovo-P,InstaNovo-P: A de novo peptide sequencing model for phosphoproteomics,"Jesper Lauridsen, Pathmanaban Ramasamy, Rachel Catzel, Vahap Canbay,  Amandla Mabona,  Kevin Eloff, Paul Fullwood, Jennifer Ferguson, Annekatrine Kirketerp-Møller, Ida Sofie Goldschmidt, Tine Claeys, Sam van Puyenbroeck, Nicolas Lopez Carranza, Erwin M. Schoof,  Lennart Martens,  Jeroen Van Goey,  Chiara Francavilla, Timothy Patrick Jenkins,  Konstantinos Kalogeropoulos","May 18, 2025",bioRxiv,https://github.com/InstaDeepAI/InstaNovo-P,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/2025.05.14.654049v1.full.pdf
pairwise,Pairwise Attention: Leveraging Mass Differences to Enhance De Novo Sequencing of Mass Spectra,"Joel Lapin, Alfred Nilsson, Mathias Wilhelm, Lukas Käll","April 3, 2025",bioRxiv,https://github.com/statisticalbiotechnology/pairwise,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/2025.03.28.645943v1.full.pdf
InstaNovo,InstaNovo enables diffusion-powered de novo peptide sequencing in large-scale proteomics experiments,"Kevin Eloff, Konstantinos Kalogeropoulos, Amandla Mabona, Oliver Morell, Rachel Catzel, Esperanza Rivera-de-Torre, Jakob Berg Jespersen, Wesley Williams, Sam P. B. van Beljouw, Marcin J. Skwark, Andreas Hougaard Laustsen, Stan J. J. Brouns, Anne Ljungars, Erwin M. Schoof, Jeroen Van Goey, Ulrich auf dem Keller, Karim Beguir, Nicolas Lopez Carranza & Timothy P. Jenkins","March 31, 2025",Nature Machine Intelligence,https://github.com/instadeepai/InstaNovo,https://github.com/instadeepai/InstaNovo/releases/tag/0.1.4,"Deep%20learning%20based%20de%20novo%20sequencing%20papers/Eloff_et_al._-_2023_-_De_novo_peptide_sequencing_with_InstaNovo_Accurat.pdf, Deep%20learning%20based%20de%20novo%20sequencing%20papers/s42256-025-01019-5.pdf"
DiNovo,"DiNovo: high-coverage, high-confidence de novo peptide
sequencing using mirror proteases and deep learning","Zixuan Cao,Xueli Peng,Di Zhang,Piyu Zhou,Li Kang,Hao Chi,Ruitao Wu,Zhiyuan Cheng, Yao Zhang, Jiaxin Dai, Yanchang Li, Lijin Yao, Xinming Li, Jinghan Yang, Haipeng Wang, Ping Xu, http://orcid.org/0000-0001-6896-5931Yan Fu","March 25, 2025",bioRxiv,https://github.com/YanFuGroup/DiNovo,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/2025.03.20.643920v1.full.pdf
PepGo,PepGo: a deep learning and tree search-based model for de novo peptide sequencing,"Yuqi Chang,  Karsten Kristiansen, Siqi Liu","February 28, 2025",bioRxiv,https://github.com/alifare/PepGo/tree/main,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/2025.02.24.640018v1.full.pdf
TSARseqNovo,A transformer-based semi-autoregressive framework for high-speed and accurate de novo peptide sequencing,"Yang Zhao, Shuo Wang, Jinze Huang, Bo Meng, Dong An, Xiang Fang, Yaoguang wei & Xinhua Dai ","February 14, 2025",Nature communications biology,https://github.com/qiyueliuhuo8/TSARseqNovo,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/s42003-025-07584-0.pdf
XA-Novo,XA-Novo: an accurate and high-throughput mass spectrometry-based de novo sequencing technology for monoclonal antibodies and antibody mixtures,"Yueting Xiong, Wenbin Jiang, Jin Xiao, Qingfang Bu, Jingyi Wang","February 7, 2025",Research Square,https://github.com/biocc/SP-MEGD_Fusion,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/ddd8b7b2-8cbf-459a-8b7b-150acaa09af4.pdf
CrossNovo,Distilling Non-Autoregressive Model Knowledge for Autoregressive De Novo Peptide Sequencing,"Xiang Zhang, Jiaqi Wei, Zijie Qiu, Sheng Xu, Zhi Jin, ZhiQiang Gao, Nanqing Dong, Siqi Sun","February 5, 2025","OpenReview, bioRxiv",https://anonymous.4open.science/r/CrossNovo-E263/README.md,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/2544_Distilling_Non_Autoregres.pdf
π-PrimeNovo,π-PrimeNovo: an accurate and efficient non-autoregressive deep learning model for de novo peptide sequencing,"Xiang Zhang, Tianze Ling, Zhi Jin, Sheng Xu, Zhiqiang Gao, Boyan Sun, Zijie Qiu, Nanqing Dong, Guangshuai Wang, Guibin Wang, Leyuan Li, Muhammad Abdul-Mageed, Laks V.S. Lakshmanan, Wanli Ouyang, Cheng Chang, Siqi Sun","January 2, 2025",Nature Communications,https://github.com/BEAM-Labs/denovo/tree/main/PrimeNovo,,"Deep%20learning%20based%20de%20novo%20sequencing%20papers/2024.05.17.594647v2.full.pdf, Deep%20learning%20based%20de%20novo%20sequencing%20papers/s41467-024-55021-3.pdf"
ReNovo,ReNovo: Retrieval-Based De Novo Mass Spectrometry Peptide Sequencing,"Shaorong ChShaorong Chen, Jun Xia, Jingbo Zhou, Lecheng Zhang, Zhangyang Gao, Bozhen Hu, Cheng Tan, Wenjie Du, Stan Z. Lien, Jun Xia, Jingbo Zhou, Lecheng Zhang, Zhangyang Gao, Bozhen Hu, Cheng Tan, Wenjie Du, Stan Z. Li","November 27, 2024",ICLR 2025,,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/8590_ReNovo_Retrieval_Based_em.pdf
DiaNovo,Disentangling the Complex Multiplexed DIA Spectra in De Novo Peptide Sequencing,"Zheng Ma, Zeping Mao, Ruixue Zhang, Jiazhen Chen, Lei Xin, Paul Shan, Ali Ghodsi, Ming Li","November 24, 2024",arXiv,https://github.com/hearthewind/dianovo,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/2411.15684v5.pdf
RankNovo,RankNovo: A Universal Reranking Approach for Robust De Novo Peptide Sequencing,"Zijie Qiu, Jiaqi Wei, Xiang Zhang, Sheng Xu, Kai Zou, Zhi Jin, ZhiQiang Gao, Nanqing Dong, Siqi Sun","November 20, 2024",ICLR 2025,,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/4619_RankNovo_A_Universal_Rera.pdf
π-xNovo,Transforming de novo peptide sequencing by explainable AI,Yu Wang,"August 4, 2024",Research Square,https://github.com/PHOENIXcenter/pi-xNovo,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/b335efcf-b30f-4000-8589-1d999c8adafa.pdf
Casanovo V2,Sequence-to-sequence translation from mass spectra to peptides with a transformer model,"Yilmaz, M., Fondrie, W. E., Bittremieux, W., Nelson, R., Ananth, V., Oh, S., Noble, W. S., & Allen, P. G. (n.d.).","July 30, 2024",Nature Communications,https://github.com/Noble-Lab/casanovo,https://github.com/Noble-Lab/casanovo/releases/tag/v3.0.0,"Deep%20learning%20based%20de%20novo%20sequencing%20papers/Yilmaz_et_al._-_2023_-_Sequence-to-sequence_translation_from_mass_spectra.pdf, Deep%20learning%20based%20de%20novo%20sequencing%20papers/s41467-024-49731-x.pdf"
TransNovo,TransNovo,Matin Ahmadi,"July 15, 2024",,https://github.com/ThatMatin/TransNovo,,
PowerNovo,PowerNovo: de novo peptide sequencing via tandem mass spectrometry using an ensemble of transformer and BERT models,"Denis V. Petrovskiy, Kirill S. Nikolsky, Liudmila I. Kulikova, Vladimir R. Rudnev, Tatiana V. Butkova, Kristina A. Malsagova, Arthur T. Kopylov & Anna L. Kaysheva","July 1, 2024",Scientific Reports,https://github.com/protdb/PowerNovo,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/s41598-024-65861-0.pdf
Cascadia,A transformer model for de novo sequencing of data independent acquisition mass spectrometry data,"Justin Sanders, Bo Wen, Paul Rudnick, Rich Johnson, Christine C. Wu, Sewoong Oh, Michael J. MacCoss, William Stafford Noble","June 4, 2024",bioRxiv,,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/2024.06.03.597251v1.full.pdf
DiaTrans (ex Casanovo-DIA),Transformer-Based De Novo Peptide Sequencing for Data-Independent Acquisition Mass Spectrometry,"Shiva Ebrahimi, Xuan Guo","April 9, 2024",arXiv,https://github.com/Biocomputing-Research-Group/Casanovo-DIA,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/Ebrahimi_and_Guo_-_2023_-_Transformer-Based_De_Novo_Peptide_Sequencing_for_D.pdf
pXg,pXg: Comprehensive Identification of Noncanonical MHC-I-Associated Peptides From De Novo Peptide Sequencing Using RNA-Seq Reads,"Seunghyuk Choi, Eunok Paek","April 1, 2024",Molecular and Cellular Proteomics,https://github.com/progistar/pXg,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/Choi_and_Paek_-_2024_-_pXg_Comprehensive_Identification_of_Noncanonical_.pdf
AdaNovo,AdaNovo: Adaptive De Novo Peptide Sequencing with Conditional Mutual Information,"Jun Xia, Shaorong Chen","March 15, 2024",arXiv,,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/Xia_et_al._-_2024_-_AdaNovo_Adaptive_emphDe_Novo_Peptide_Sequencin.pdf
NovoB,Bidirectional de novo peptide sequencing using a transformer model,"Sangjeong Lee,Hyunwoo Kim²","February 28, 2024",PLoS Computational Biology,https://github.com/ProteomeTeam/NovoB,https://zenodo.org/records/10258874,Deep%20learning%20based%20de%20novo%20sequencing%20papers/Lee_and_Kim_-_2024_-_Bidirectional_de_novo_peptide_sequencing_using_a_t.pdf
π-HelixNovo (ex- PandaNovo),Introducing π-HelixNovo for practical large-scale de novo peptide sequencing,"Tingpeng Yang, Tianze Ling, Boyan Sun","February 10, 2024",Briefings in Bioinformatics,https://github.com/PHOENIXcenter/pi-HelixNovo,https://zenodo.org/records/10405582,Deep%20learning%20based%20de%20novo%20sequencing%20papers/Yang_et_al._-_Introducing_-HelixNovo_for_practical_large-scale.pdf
Casanovo-DB,A learned score function improves the power of mass spectrometry database search,"Varun Ananth, Justin Sanders","February 7, 2024",bioRxiv,,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/Ananth_et_al._-_2024_-_A_learned_score_function_improves_the_power_of_mas.pdf
